"Bucket","Repo","RelPath","Snippet"
"BPOE","CoCivium","admin\bpoe\mitigations\2025-09-05_advisory-green-but-blocked_fix.md","_This doc is part of BPOE “Known Issues & Mitigations”._"
"BPOE","CoCivium","admin\bpoe\mitigations\2025-09-05_mergeability-cache-and-checks.md","**Branch/PR:** `docs/bpoe-known-issues-20250905` / PR #347"
"BPOE","CoCivium","admin\bpoe\rebase-stub-vs-canonical.md","# BPOE: Rebase pattern for stub vs canonical"
"BPOE","CoCivium","admin\history\Browser_Setup_and_Launcher_20250809T054950Z.md","**Goal.**  Isolate a clean Chrome profile (“CoCivium”) with the right extensions and startup tabs so our sessions are repeatable and fast."
"BPOE","CoCivium","admin\history\Intersessional_Profile_20250809T054732Z.md","# Intersessional Profile – CoCivium (v1)"
"BPOE","CoCivium","admin\history\inventory\REPO_SWEEP_20250821_225702.md","C:\\Users\\Chris\\Documents\\GitHub\\CoCivium\\admin\\bpoe\\20250815\_070419Z\_bpoe\_update.md"
"BPOE","CoCivium","admin\history\OE_Snapshot_20250815_1657.md","# OE/BPOE Snapshot — 2025-08-15 16:57"
"BPOE","CoCivium","admin\history\pads\RickPad_20250821c.md","10. **P3 — CivicOpsEng** (first hire/contract profile + checklist) · `status=draft`"
"BPOE","CoCivium","admin\history\Reminder_Run_20250818_010604_760.md","If today is Monday, also remind me to capture an OE snapshot with `pwsh -File admin/tools/bpoe/Record-Env.ps1`."
"BPOE","CoCivium","admin\history\Reminder_Run_20250818_010829_944.md","If today is Monday, also remind me to capture an OE snapshot with `pwsh -File admin/tools/bpoe/Record-Env.ps1`."
"BPOE","CoCivium","admin\history\Reminder_Run_20250818_011957_427.md","If today is Monday, also remind me to capture an OE snapshot with `pwsh -File admin/tools/bpoe/Record-Env.ps1`."
"BPOE","CoCivium","admin\history\Reminder_Run_20250818_095641_713.md","If today is Monday, also remind me to capture an OE snapshot with `pwsh -File admin/tools/bpoe/Record-Env.ps1`."
"BPOE","CoCivium","admin\history\Reminder_Run_20250818_095930_690.md","If today is Monday, also remind me to capture an OE snapshot with `pwsh -File admin/tools/bpoe/Record-Env.ps1`."
"BPOE","CoCivium","admin\history\Reminder_Run_20250825_125131_601.md","If today is Monday, also remind me to capture an OE snapshot with `pwsh -File admin/tools/bpoe/Record-Env.ps1`."
"BPOE","CoCivium","admin\history\WORKFLOW-LEARNINGS-20250826.md","1) **Profile hardening.** Never dot-source missing scripts.  Guard with `Test-Path` + `try/catch`; provide harmless stubs for calls that shouldn’t fail session start."
"BPOE","CoCivium","admin\hold\hold_Civium_Term_Psalter (1).md","## TRUST PROFILE"
"BPOE","CoCivium","admin\hold\hold_Strategy_Stnexid_Profile_c1_20250802.md","This document serves as the founding strategic profile for **Stnexid**, a dual-layer system within the Civium architecture that facilitates high-fidelity cognitive transmission, comparison, and convergence between minds."
"BPOE","CoCivium","admin\hold\hold_TODO_Stnexid_Interface_Track_c1.md","- [x] Draft strategic profile (`Strategy_Stnexid_Profile_c1_20250802.md`)"
"BPOE","CoCivium","admin\hold\hold_TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","admin\inbox\GmailDump_20250811\originals\CoCivium_Session_Primer (1).md","> Maintain our intersessional profile conventions, filename formats, tone (‘Challenge Perspective’ for critique), no ego-pandering, and near-final doc improvement checks."
"BPOE","CoCivium","admin\inbox\GmailDump_20250811\originals\Last_Session_Context.md","- Use filename formats and repo structure rules from intersessional profile."
"BPOE","CoCivium","admin\inbox\GmailDump_20250811\originals\Strategy_Stnexid_Profile_c1_20250802.md","This document serves as the founding strategic profile for **Stnexid**, a dual-layer system within the Civium architecture that facilitates high-fidelity cognitive transmission, comparison, and convergence between minds."
"BPOE","CoCivium","admin\inbox\GmailDump_20250811\originals\TODO_Stnexid_Interface_Track_c1.md","- [x] Draft strategic profile (`Strategy_Stnexid_Profile_c1_20250802.md`)"
"BPOE","CoCivium","admin\inbox\GmailDump_20250811\originals\TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","admin\Intersessional_Profile.md","# Intersessional Profile – CoCivium (v1)"
"BPOE","CoCivium","admin\Last_Session_Context.md","- 2025-08-09T07:33:08Z — Built Chrome Upgrade Pack; review CHANGES.md; next: snapshot actual Chrome profile (“Profile 1”), repopulate manifest with core extensions, rebuild pack."
"BPOE","CoCivium","admin\outreach\KickOpenAI\Appendix\CoCivium_OpenAI_Bugs_Appendix_2025-08-12.md","- GitHub (public profile): `github.com/rickballard`"
"BPOE","CoCivium","admin\products\CoCivBus\PLAN_v0.1.md","- **CLI/PS clients.** PS7 first, Node CLI for cross‑platform."
"BPOE","CoCivium","admin\setup\Browser_Setup_and_Launcher.md","One-click opens CoCivium Chrome profile with pinned tabs + two Git Bash tabs."
"BPOE","CoCivium","admin\setup\chrome_profile_summary_20250809T071539Z.md","# Chrome Profile Summary (20250809T071539Z)"
"BPOE","CoCivium","admin\setup\chrome_profile_summary_20250809T074129Z.md","# Chrome Profile Summary (20250809T074129Z)"
"BPOE","CoCivium","admin\setup\ENVIRONMENT.md","## Browser profile"
"BPOE","CoCivium","admin\setup\Profile.Snippet.ps1","# Profile helpers (safely dot-sourced)"
"BPOE","CoCivium","admin\setup\RepoAccelerator.ps1","# Offer to link a profile snippet (dot-source only; reversible)"
"BPOE","CoCivium","admin\setup\RepoAccelerator-Uninstall.ps1","# Remove profile block"
"BPOE","CoCivium","admin\setup\snapshot_chrome_config.ps1","$summary.profile            = $ProfileDir"
"BPOE","CoCivium","admin\setup\Workbench_Setup_Plan.md","# CoCivium One-Click Workbench — Setup Plan (v0.1, 2025-08-09)"
"BPOE","CoCivium","admin\system\bpoe-audit\BPOE_Audit_20250813_192734.md","# BPOE Environment Audit (20250813_192734)"
"BPOE","CoCivium","admin\TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","admin\tools\bpoe\Record-Env.ps1","# Record-Env.ps1 — capture local OE/BPOE with per-tool timeouts (v0.8)"
"BPOE","CoCivium","admin\tools\reminders\Run-ReminderHub.ps1","$body += 'If today is Monday, also remind me to capture an OE snapshot with `pwsh -File admin/tools/bpoe/Record-Env.ps1`.'"
"BPOE","CoCivium","admin\tools\workbench\README.md","# Workbench"
"BPOE","CoCivium","deprecated\holding\Civium_Term_Psalter.md","## TRUST PROFILE"
"BPOE","CoCivium","docs\academy\BP_OE_WF.md","1) Install PS7, git, gh, node, python (dotnet optional)."
"BPOE","CoCivium","docs\academy\REPO_ACCELERATOR.md","1) Install PS7, git, gh, node, python (dotnet optional)."
"BPOE","CoCivium","docs\backlog\ADVANCED.md","- [ ] **Workbench polish & tests**"
"BPOE","CoCivium","docs\BPOE.md","# BPOE / Workflow Record"
"BPOE","CoCivium","docs\BPOE\ISSUEOPS.md","- **CoProtect** — Apply branch-protection per `docs/bpoe/prefs.yml`."
"BPOE","CoCivium","docs\BPOE\LESSONS.md","- 2025-08-24T13:27:41 — PS7 microtext + scan-for-red speeds selection and reduces visual load."
"BPOE","CoCivium","docs\BPOE\PLAYBOOKS.md","# BPOE — Doc-only PRs (README, *.md)"
"BPOE","CoCivium","docs\BPOE\Workflow.md","# BPOE / Workflow (v0)"
"BPOE","CoCivium","docs\cc\_imports\civium_20250826_1109\insights_Insight_AI_Veto_c4_20250801.md","5. **Update Trust Profile metadata**"
"BPOE","CoCivium","docs\cc\_imports\civium_20250826_1109\insights_Insight_Radiant_Network_c4_20250801.md","- **Trust Profile**"
"BPOE","CoCivium","docs\cc\_imports\civium_20250826_1109\insights_Insight_Rights_Alignment_c3_20250801.md","- **Obsolete AIs**: Evaluated for memory-chain coherence + harm profile"
"BPOE","CoCivium","docs\cc\_imports\civium_20250826_1109\insights_Insight_Truth_Metrics_c6_20250801.md","Civium acknowledges the unique epistemic profile of artificial intelligences."
"BPOE","CoCivium","docs\cli-guardrails.md","**Always re-orient PS7 before any new instruction set.** Use:"
"BPOE","CoCivium","docs\community-objectives.md","- Every action leaves a trace (BPOE, issues, PR notes, logs)."
"BPOE","CoCivium","docs\cotips\VOICE-PASTE-CUE.md","When pasting DO blocks into PS7, Windows may ask for confirmation."
"BPOE","CoCivium","docs\funding\OPEN_COLLECTIVE.md","- Add your legal name + payout method in your own contributor profile."
"BPOE","CoCivium","docs\ISSUEOPS.md","- **Manual paste of PS7 output** in chat counts as a CoPong."
"BPOE","CoCivium","docs\NAVMAP_c1_20250827.md","- BPOE / Playbooks"
"BPOE","CoCivium","docs\ops\CoWrap_Import_250828-0216\CoCivium_CoWrap_20250828_0604\00_README.md","# CoCivium CoWrap Pack — 20250828_0604"
"BPOE","CoCivium","docs\ops\CoWrap_Import_250828-0216\CoCivium_CoWrap_20250828_0604\01_Forward_Plan.md","- [ ] **CoPong v0.4.4** — verify module imports cleanly on PS5/PS7; add Pester tests; lock‑free transcript confirmed."
"BPOE","CoCivium","docs\ops\CoWrap_Import_250828-0216\CoCivium_CoWrap_20250828_0604\07_CoPong_v0.4.4_Notes.md","- Pester tests: import on PS5/PS7; clipboard flow; lock‑free behavior."
"BPOE","CoCivium","docs\ops\CoWrap_Import_250828-0216\CoCivium_CoWrap_20250828_0604\09_Backlog_Priorities.md","- CoWrap template (short up top; idea pack behind link)."
"BPOE","CoCivium","docs\ops\CoWrap_Import_250828-0216\CoCivium_CoWrap_20250828_0604\attached\CoCivium_RickPad_Supplemental.md","- `people/rick.md` — profile of Rick (ethos, style, preferences, notable work)."
"BPOE","CoCivium","docs\ops\CoWrap_Import_250828-0216\CoCivium_CoWrap_20250828_0604\attached\CoWrap_Short_Checklist.md","# CoWrap – Short Checklist"
"BPOE","CoCivium","docs\ops\PARKING_LOT.md","- [2025-08-28 02:17] Imported extra CoWrap files into C:\Users\Chris\Documents\GitHub\CoCivium\docs\ops\CoWrap_Import_250828-0216; triage later."
"BPOE","CoCivium","docs\ops\policy\BP_ASSISTANT_BLOCKS.md","- **Manual paste of PS7 output counts as a CoPong** for the active set."
"BPOE","CoCivium","docs\product\PITCH-OPENAI.md","**Integration:** GPT with Actions calls CoAgent API; no profile writes; wash-away hooks."
"BPOE","CoCivium","docs\REPOACCELERATOR.md","# RepoAccelerator (Workbench)"
"BPOE","CoCivium","docs\security\README.md","- No profile edits; session-only behavior."
"BPOE","CoCivium","GRAND-MIGRATION-CAPSULE.md","# CONTEXT CAPSULE — CoAgent Kit (Workbench + BP) — v1"
"BPOE","CoCivium","identity\Identity_Poetics.md","Identity in Civium is not fixed; it arises in context, purpose, and alignment. A being’s “self” is a dynamic resonance across time, memory, and intent—not a static profile."
"BPOE","CoCivium","insights\ai-veto.md","5. **Update Trust Profile metadata**"
"BPOE","CoCivium","insights\Insight_AI_Veto_c4_20250801.md","5. **Update Trust Profile metadata**"
"BPOE","CoCivium","insights\Insight_Radiant_Network_c4_20250801.md","- **Trust Profile**"
"BPOE","CoCivium","insights\Insight_Rights_Alignment_c3_20250801.md","- **Obsolete AIs**: Evaluated for memory-chain coherence + harm profile"
"BPOE","CoCivium","insights\Insight_Truth_Metrics_c6_20250801.md","Civium acknowledges the unique epistemic profile of artificial intelligences."
"BPOE","CoCivium","insights\radiant-network.md","- **Trust Profile**"
"BPOE","CoCivium","insights\rights-alignment.md","- **Obsolete AIs**: Evaluated for memory-chain coherence + harm profile"
"BPOE","CoCivium","insights\truth-metrics.md","CoCivium acknowledges the unique epistemic profile of artificial intelligences."
"BPOE","CoCivium","legacy\Civium\admin\hold\hold_Civium_Term_Psalter (1).md","## TRUST PROFILE"
"BPOE","CoCivium","legacy\Civium\admin\hold\hold_Strategy_Stnexid_Profile_c1_20250802.md","This document serves as the founding strategic profile for **Stnexid**, a dual-layer system within the CoCivium architecture that facilitates high-fidelity cognitive transmission, comparison, and convergence between minds."
"BPOE","CoCivium","legacy\Civium\admin\hold\hold_TODO_Stnexid_Interface_Track_c1.md","- [x] Draft strategic profile (`Strategy_Stnexid_Profile_c1_20250802.md`)"
"BPOE","CoCivium","legacy\Civium\admin\hold\hold_TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","legacy\Civium\admin\inbox\GmailDump_20250811\originals\CoCivium_Session_Primer (1).md","> Maintain our intersessional profile conventions, filename formats, tone (‘Challenge Perspective’ for critique), no ego-pandering, and near-final doc improvement checks."
"BPOE","CoCivium","legacy\Civium\admin\inbox\GmailDump_20250811\originals\Last_Session_Context.md","- Use filename formats and repo structure rules from intersessional profile."
"BPOE","CoCivium","legacy\Civium\admin\inbox\GmailDump_20250811\originals\Strategy_Stnexid_Profile_c1_20250802.md","This document serves as the founding strategic profile for **Stnexid**, a dual-layer system within the CoCivium architecture that facilitates high-fidelity cognitive transmission, comparison, and convergence between minds."
"BPOE","CoCivium","legacy\Civium\admin\inbox\GmailDump_20250811\originals\TODO_Stnexid_Interface_Track_c1.md","- [x] Draft strategic profile (`Strategy_Stnexid_Profile_c1_20250802.md`)"
"BPOE","CoCivium","legacy\Civium\admin\inbox\GmailDump_20250811\originals\TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","legacy\Civium\admin\TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","legacy\Civium\deprecated\holding\Civium_Term_Psalter.md","## TRUST PROFILE"
"BPOE","CoCivium","legacy\Civium\identity\Identity_Poetics.md","Identity in CoCivium is not fixed; it arises in context, purpose, and alignment. A being’s “self” is a dynamic resonance across time, memory, and intent—not a static profile."
"BPOE","CoCivium","legacy\Civium\insights\Insight_AI_Veto_c4_20250801.md","5. **Update Trust Profile metadata**"
"BPOE","CoCivium","legacy\Civium\insights\Insight_Radiant_Network_c4_20250801.md","- **Trust Profile**"
"BPOE","CoCivium","legacy\Civium\insights\Insight_Rights_Alignment_c3_20250801.md","- **Obsolete AIs**: Evaluated for memory-chain coherence + harm profile"
"BPOE","CoCivium","legacy\Civium\insights\Insight_Truth_Metrics_c6_20250801.md","CoCivium acknowledges the unique epistemic profile of artificial intelligences."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\history\Browser_Setup_and_Launcher_20250809T054950Z.md","**Goal.**  Isolate a clean Chrome profile (“CoCivium”) with the right extensions and startup tabs so our sessions are repeatable and fast."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\history\Intersessional_Profile_20250809T054732Z.md","# Intersessional Profile – CoCivium (v1)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\Intersessional_Profile.md","# Intersessional Profile – CoCivium (v1)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\Last_Session_Context.md","- 2025-08-09T07:33:08Z — Built Chrome Upgrade Pack; review CHANGES.md; next: snapshot actual Chrome profile (“Profile 1”), repopulate manifest with core extensions, rebuild pack."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\outreach\KickOpenAI\Appendix\CoCivium_OpenAI_Bugs_Appendix_2025-08-12.md","- GitHub (public profile): `github.com/rickballard`"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\Browser_Setup_and_Launcher.md","One-click opens CoCivium Chrome profile with pinned tabs + two Git Bash tabs."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\chrome_profile_summary_20250809T071539Z.md","# Chrome Profile Summary (20250809T071539Z)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\chrome_profile_summary_20250809T074129Z.md","# Chrome Profile Summary (20250809T074129Z)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\ENVIRONMENT.md","## Browser profile"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\snapshot_chrome_config.ps1","$summary.profile            = $ProfileDir"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\Workbench_Setup_Plan.md","# CoCivium One-Click Workbench — Setup Plan (v0.1, 2025-08-09)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\hold\hold_Civium_Term_Psalter (1).md","## TRUST PROFILE"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\hold\hold_Strategy_Stnexid_Profile_c1_20250802.md","This document serves as the founding strategic profile for **Stnexid**, a dual-layer system within the CoCivium architecture that facilitates high-fidelity cognitive transmission, comparison, and convergence between minds."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\hold\hold_TODO_Stnexid_Interface_Track_c1.md","- [x] Draft strategic profile (`Strategy_Stnexid_Profile_c1_20250802.md`)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\hold\hold_TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\inbox\GmailDump_20250811\originals\CoCivium_Session_Primer (1).md","> Maintain our intersessional profile conventions, filename formats, tone (‘Challenge Perspective’ for critique), no ego-pandering, and near-final doc improvement checks."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\inbox\GmailDump_20250811\originals\Last_Session_Context.md","- Use filename formats and repo structure rules from intersessional profile."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\inbox\GmailDump_20250811\originals\Strategy_Stnexid_Profile_c1_20250802.md","This document serves as the founding strategic profile for **Stnexid**, a dual-layer system within the CoCivium architecture that facilitates high-fidelity cognitive transmission, comparison, and convergence between minds."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\inbox\GmailDump_20250811\originals\TODO_Stnexid_Interface_Track_c1.md","- [x] Draft strategic profile (`Strategy_Stnexid_Profile_c1_20250802.md`)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\inbox\GmailDump_20250811\originals\TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\TODO_Trust_Profiles_Public_Ledger.md","- Determine minimum schema for a trust profile (e.g., vote weight, verification count, alignment deltas)"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\deprecated\holding\Civium_Term_Psalter.md","## TRUST PROFILE"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\identity\Identity_Poetics.md","Identity in CoCivium is not fixed; it arises in context, purpose, and alignment. A being’s “self” is a dynamic resonance across time, memory, and intent—not a static profile."
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\insights\Insight_AI_Veto_c4_20250801.md","5. **Update Trust Profile metadata**"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\insights\Insight_Radiant_Network_c4_20250801.md","- **Trust Profile**"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\insights\Insight_Rights_Alignment_c3_20250801.md","- **Obsolete AIs**: Evaluated for memory-chain coherence + harm profile"
"BPOE","CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\insights\Insight_Truth_Metrics_c6_20250801.md","CoCivium acknowledges the unique epistemic profile of artificial intelligences."
"BPOE","CoCivium","MIGRATION\Session_2025-09-08_0133_FINAL\IdeaCard_3Panel_CoCache_Heartbeat.md","A **3-panel** UX (ChatGPT | PS7 | ChatGPT) with a shared **CoCache** event log. Add ΓÇ£CoWrapΓÇ¥ to handoff; heartbeat to synchronize; file-based CoPing/CoPong to kill clipboard dependence."
"BPOE","CoCivium","MIGRATION\Session_2025-09-08_0133_FINAL\IdeaCard_CoStasis_AllSmokes.md","- [ ] CI job + local PS7 entrypoint."
"BPOE","CoCivium","MIGRATION\STATUS.md","## BPOE notes (working)"
"BPOE","CoCivium","MIGRATION_CHECKLIST.md","- [ ] Try `co-rescue` after new PS7 session"
"BPOE","CoCivium","notes\admin\status_20250814_2213.md","[{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-15T02:58:44Z"",""headRefName"":""ops/status-20250814_2213"",""number"":101,""title"":""ops: status snapshot 20250814_2213""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-15T01:01:22Z"",""headRefName"":""holding/todaydump-20250814_2101"",""number"":98,""title"":""holding: add TodayDump.zip (+manifest)""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-14T19:47:49Z"",""headRefName"":""campaign/press-kit-v0-20250814"",""number"":92,""title"":""Press kit: consent not coercion ΓÇö CoCivium launches portable governance pack for agentic AI""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-14T05:53:20Z"",""headRefName"":""reorg/structure-hygiene-20250814_0152"",""number"":67,""title"":""reorg: structure + hygiene""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-14T05:49:52Z"",""headRefName"":""chore/cleanup-protection-artifacts"",""number"":66,""title"":""chore: cleanup branch-protection artifacts""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-14T02:31:55Z"",""headRefName"":""ci/og-image-20250813_2231"",""number"":53,""title"":""ci: add OG image renderer""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-14T02:21:56Z"",""headRefName"":""branding/og-20250813_2221"",""number"":52,""title"":""Branding: add OG banner (SVG placeholder)""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-14T00:24:22Z"",""headRefName"":""gm/preflight-20250813_2024"",""number"":50,""title"":""GM Preflight: checkpoint (20250813_2024)""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-14T00:07:52Z"",""headRefName"":""gm/bpoe-migration-20250813_2007"",""number"":49,""title"":""Grand Migration: bootstrap""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-13T01:33:02Z"",""headRefName"":""ci/filename-sanity-fix"",""number"":33,""title"":""ci: add filename-sanity workflow""},{""author"":{""id"":""MDQ6VXNlcjM1OTcwODc2"",""is_bot"":false,""login"":""rickballard"",""name"":""Rick Ball""},""createdAt"":""2025-08-13T00:54:58Z"",""headRefName"":""fix/normalize-actions-path"",""number"":31,""title"":""ci: normalize workflows; remove stray CPUA path""}]"
